Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Position	Temp C	ARM Gauss	ARM axis	IRM Gauss	X corr	Y corr	Z corr	X std dev	Y std dev	Z std dev	# MM averaged	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Treatment Type	Meas. type	Drift corrected	Tray corrected	Depth	Run #	Settling time	Leader length	Trailer length
C5B	0	1.2424E-5	-7.4678E-6	1.9217E-5	0.00	90.00	0.00	0.00	328.99	52.97	2.4071E-5	1.9310E-4	-1.1805E-4	4.8708E-4	1.3916E-9	-1.9019E-9	1.5816E-10	24.0	NA	NA	NA	NA	1.9310E-4	-1.1805E-4	4.8708E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.24	22341	1.0	0.0	0.0
C5B	0	1.1287E-5	-7.6954E-6	2.0147E-5	0.00	90.00	0.00	0.00	325.71	55.86	2.4342E-5	1.7543E-4	-1.2165E-4	5.1065E-4	1.4403E-9	-1.9685E-9	1.6370E-10	25.0	NA	NA	NA	NA	1.7543E-4	-1.2165E-4	5.1065E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.25	22341	1.0	0.0	0.0
C5B	0	9.8591E-6	-7.6532E-6	2.1134E-5	0.00	90.00	0.00	0.00	322.18	59.44	2.4544E-5	1.5323E-4	-1.2098E-4	5.3566E-4	1.4892E-9	-2.0352E-9	1.6925E-10	26.0	NA	NA	NA	NA	1.5323E-4	-1.2098E-4	5.3566E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.26	22341	1.0	0.0	0.0
C5B	0	8.6357E-6	-7.4088E-6	2.2085E-5	0.00	90.00	0.00	0.00	319.37	62.74	2.4844E-5	1.3422E-4	-1.1712E-4	5.5978E-4	1.5413E-9	-2.1065E-9	1.7517E-10	27.0	NA	NA	NA	NA	1.3422E-4	-1.1712E-4	5.5978E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.27	22341	1.0	0.0	0.0
C5B	0	7.8193E-6	-6.8869E-6	2.2925E-5	0.00	90.00	0.00	0.00	318.63	65.56	2.5182E-5	1.2153E-4	-1.0887E-4	5.8106E-4	1.5901E-9	-2.1732E-9	1.8072E-10	28.0	NA	NA	NA	NA	1.2153E-4	-1.0887E-4	5.8106E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.28	22341	1.0	0.0	0.0
C5B	0	7.4142E-6	-5.9811E-6	2.3446E-5	0.00	90.00	0.00	0.00	321.11	67.89	2.5307E-5	1.1523E-4	-9.4551E-5	5.9426E-4	1.6422E-9	-2.2443E-9	1.8664E-10	29.0	NA	NA	NA	NA	1.1523E-4	-9.4549E-5	5.9426E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.29	22341	1.0	0.0	0.0
C5B	0	7.4883E-6	-4.6696E-6	2.3522E-5	0.00	90.00	0.00	0.00	328.05	69.43	2.5123E-5	1.1639E-4	-7.3820E-5	5.9618E-4	1.6943E-9	-2.3155E-9	1.9256E-10	30.0	NA	NA	NA	NA	1.1638E-4	-7.3817E-5	5.9618E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.30	22341	1.0	0.0	0.0
C5B	0	8.3044E-6	-3.4217E-6	2.3121E-5	0.00	90.00	0.00	0.00	337.61	68.77	2.4804E-5	1.2907E-4	-5.4093E-5	5.8603E-4	1.7431E-9	-2.3822E-9	1.9811E-10	31.0	NA	NA	NA	NA	1.2907E-4	-5.4091E-5	5.8603E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.31	22341	1.0	0.0	0.0
C5B	0	9.6747E-6	-2.5237E-6	2.2432E-5	0.00	90.00	0.00	0.00	345.38	65.98	2.4560E-5	1.5037E-4	-3.9897E-5	5.6857E-4	1.7920E-9	-2.4490E-9	2.0366E-10	32.0	NA	NA	NA	NA	1.5036E-4	-3.9894E-5	5.6857E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.32	22341	1.0	0.0	0.0
C5B	0	1.1188E-5	-2.0762E-6	2.1762E-5	0.00	90.00	0.00	0.00	349.49	62.40	2.4558E-5	1.7389E-4	-3.2823E-5	5.5159E-4	1.8408E-9	-2.5157E-9	2.0920E-10	33.0	NA	NA	NA	NA	1.7389E-4	-3.2820E-5	5.5159E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.33	22341	1.0	0.0	0.0
C5B	0	1.2277E-5	-1.9626E-6	2.1308E-5	0.00	90.00	0.00	0.00	350.92	59.74	2.4670E-5	1.9082E-4	-3.1028E-5	5.4007E-4	1.8928E-9	-2.5869E-9	2.1512E-10	34.0	NA	NA	NA	NA	1.9082E-4	-3.1025E-5	5.4007E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.34	22341	1.0	0.0	0.0
