Depth	MS corr
457	9.0000E+0
458	1.0000E+1
459	1.1000E+1
460	1.1000E+1
461	1.0000E+1
462	1.1000E+1
463	1.1000E+1
464	1.2000E+1
465	1.1000E+1
466	1.1000E+1
467	1.1000E+1
468	1.1000E+1
469	1.1000E+1
470	1.1000E+1
471	1.2000E+1
472	1.1000E+1
473	1.2000E+1
474	1.3000E+1
475	1.2000E+1
476	1.3000E+1
477	1.4000E+1
478	1.4000E+1
479	1.4000E+1
480	1.4000E+1
481	1.4000E+1
482	1.4000E+1
483	1.4000E+1
484	1.3000E+1
485	1.2000E+1
486	1.2000E+1
487	1.2000E+1
488	1.2000E+1
489	1.3000E+1
490	1.3000E+1
491	1.3000E+1
492	1.3000E+1
493	1.3000E+1
494	1.3000E+1
495	1.3000E+1
496	1.3000E+1
497	1.3000E+1
498	1.2000E+1
499	1.3000E+1
500	1.2000E+1
501	1.3000E+1
502	1.3000E+1
503	1.2000E+1
504	1.1000E+1
504	9.1436E+0
505	1.4162E+1
506	1.6181E+1
507	1.6199E+1
508	1.5218E+1
509	1.5236E+1
510	1.4255E+1
511	1.3273E+1
512	1.3292E+1
513	1.4310E+1
514	1.4329E+1
515	1.6347E+1
516	1.7366E+1
517	1.8384E+1
518	1.9403E+1
519	1.9421E+1
520	2.0440E+1
521	2.0458E+1
522	2.1476E+1
523	2.1495E+1
524	2.1513E+1
525	2.0532E+1
526	2.0551E+1
527	1.9569E+1
528	1.8588E+1
529	1.7606E+1
530	1.7625E+1
531	1.6643E+1
532	1.5661E+1
533	1.4680E+1
534	1.4698E+1
535	1.4717E+1
536	1.3735E+1
537	1.3754E+1
538	1.4772E+1
539	1.4791E+1
540	1.4809E+1
541	1.4828E+1
542	1.3846E+1
543	1.3865E+1
544	1.3883E+1
545	1.2902E+1
546	1.2921E+1
547	1.2939E+1
548	1.1957E+1
549	1.1976E+1
550	1.0995E+1
551	1.0013E+1
552	9.0313E+0
553	9.0496E+0
554	9.0684E+0
555	9.0867E+0
556	8.1051E+0
557	8.1234E+0
558	9.1418E+0
559	9.1602E+0
560	9.1786E+0
561	9.1969E+0
562	9.2154E+0
563	9.2337E+0
564	8.2521E+0
565	8.2705E+0
566	8.2889E+0
567	8.3072E+0
568	8.3256E+0
569	8.3440E+0
570	8.3623E+0
571	8.3807E+0
572	8.3991E+0
573	8.4175E+0
574	8.4359E+0
575	8.4542E+0
576	8.4726E+0
577	8.4909E+0
578	8.5093E+0
579	9.5277E+0
580	9.5461E+0
581	9.5649E+0
582	8.5833E+0
583	8.6017E+0
584	9.6201E+0
585	8.6385E+0
586	9.6569E+0
587	8.6752E+0
588	8.6936E+0
589	8.7120E+0
590	9.7304E+0
591	8.7488E+0
592	9.7672E+0
593	9.7857E+0
594	8.8041E+0
595	8.8225E+0
596	9.8408E+0
597	9.8588E+0
598	9.8769E+0
599	9.8948E+0
600	9.9127E+0
601	8.9307E+0
602	8.9486E+0
603	6.9666E+0
604	3.9845E+0
604	-7.1966E-2
605	9.1878E-1
606	4.9094E+0
607	6.8999E+0
608	8.8907E+0
609	9.8815E+0
610	8.8721E+0
611	8.8627E+0
612	8.8535E+0
613	8.8443E+0
614	8.8350E+0
615	9.8258E+0
616	8.8166E+0
617	7.8072E+0
618	9.7980E+0
619	7.7888E+0
620	1.1780E+1
621	7.7704E+0
622	1.1761E+1
623	7.7520E+0
624	1.0743E+1
625	9.7336E+0
626	7.7244E+0
627	1.0715E+1
628	6.7060E+0
629	1.1697E+1
630	6.6876E+0
631	1.0678E+1
632	6.6691E+0
633	9.6599E+0
634	8.6507E+0
635	9.6415E+0
636	7.6323E+0
637	7.6229E+0
638	8.6137E+0
639	8.6043E+0
640	9.5951E+0
641	9.5859E+0
642	9.5768E+0
643	9.5676E+0
644	9.5584E+0
645	9.5492E+0
646	9.5400E+0
647	9.5308E+0
648	9.5216E+0
649	1.0512E+1
650	9.5032E+0
651	9.4940E+0
652	9.4848E+0
653	9.4756E+0
654	9.4664E+0
655	9.4573E+0
656	9.4479E+0
657	8.4387E+0
658	8.4295E+0
659	8.4203E+0
660	7.4111E+0
661	6.4017E+0
662	7.3926E+0
663	6.3834E+0
664	6.3742E+0
665	7.3650E+0
666	7.3558E+0
667	8.3466E+0
668	8.3375E+0
669	9.3282E+0
670	1.0319E+1
671	1.1310E+1
672	1.0301E+1
673	1.2291E+1
674	1.2282E+1
675	1.2273E+1
676	1.2264E+1
677	1.1255E+1
678	1.1245E+1
679	1.1236E+1
680	1.1227E+1
681	1.2218E+1
682	1.3209E+1
683	1.3200E+1
684	1.2190E+1
685	1.1181E+1
686	1.1172E+1
687	9.1628E+0
688	8.1536E+0
689	8.1445E+0
690	1.0135E+1
691	1.3126E+1
692	1.7117E+1
693	2.1108E+1
694	2.7098E+1
695	3.1089E+1
696	3.4080E+1
697	3.6071E+1
698	3.5062E+1
699	3.3053E+1
700	3.2044E+1
701	2.7035E+1
702	2.0026E+1
703	1.2017E+1
