Depth,0.0150000,0.0200000,0.0250000,0.0300000,0.0400000,0.0500000,0.0600000,0.0800000,0.100000,mean ratio,slope,r,r-squared,normalizer
80,0.00668879,0.00599056,,0.00690640,0.00706440,0.00676912,0.00660475,0.00451140,0.00347979,0.00600190,0.00650501,0.994542,0.989114,2.94256
81,0.00674541,0.00602777,,0.00694181,0.00712539,0.00679849,0.00669275,0.00454028,0.00352787,0.00604997,0.00655108,0.994435,0.988901,2.81411
82,0.00685945,0.00610889,,0.00704011,0.00726718,0.00693405,0.00688971,0.00467872,0.00372494,0.00618788,0.00663654,0.994220,0.988473,2.68446
83,0.00685014,0.00608705,,0.00703216,0.00729337,0.00696883,0.00700141,0.00478277,0.00396157,0.00624716,0.00659955,0.994043,0.988122,2.63999
84,0.00664751,0.00592076,,0.00684476,0.00711303,0.00679616,0.00691023,0.00475062,0.00406237,0.00613068,0.00639537,0.994167,0.988367,2.69132
85,0.00636025,0.00569463,,0.00656833,0.00682015,0.00650535,0.00667464,0.00458480,0.00396146,0.00589620,0.00613053,0.994510,0.989050,2.78007
86,0.00611151,0.00549128,,0.00631369,0.00653369,0.00619954,0.00639123,0.00437025,0.00370567,0.00563961,0.00590963,0.994825,0.989676,2.87078
87,0.00595866,0.00537288,,0.00614115,0.00634041,0.00599063,0.00617167,0.00419425,0.00342312,0.00544910,0.00578495,0.995178,0.990378,2.95280
88,0.00591665,0.00535064,,0.00607853,0.00626506,0.00589016,0.00605438,0.00407990,0.00324118,0.00535956,0.00576533,0.995497,0.991014,3.00444
89,0.00590235,0.00534953,,0.00605741,0.00624086,0.00582693,0.00599173,0.00400583,0.00318905,0.00532046,0.00576505,0.995697,0.991413,3.05496
90,0.00583950,0.00530936,,0.00600742,0.00617787,0.00573445,0.00592133,0.00395333,0.00320906,0.00526904,0.00571413,0.995882,0.991780,3.15400
91,0.00575431,0.00526340,,0.00596223,0.00611647,0.00566226,0.00586748,0.00395272,0.00330030,0.00523490,0.00564216,0.996091,0.992198,3.29530
92,0.00570845,0.00525093,,0.00595986,0.00610572,0.00565483,0.00587522,0.00404965,0.00349625,0.00526261,0.00560088,0.996265,0.992545,3.44557
93,0.00568768,0.00527022,,0.00598257,0.00613478,0.00571130,0.00593168,0.00420839,0.00374628,0.00533411,0.00558217,0.996496,0.993004,3.58950
94,0.00571038,0.00531788,,0.00602729,0.00619681,0.00580508,0.00603321,0.00434015,0.00394328,0.00542176,0.00560347,0.996668,0.993347,3.70585
95,0.00577684,0.00539359,,0.00611137,0.00629202,0.00592880,0.00612894,0.00442842,0.00403710,0.00551213,0.00566955,0.996730,0.993471,3.77437
96,0.00583230,0.00546182,,0.00618029,0.00637107,0.00604178,0.00620143,0.00448650,0.00401837,0.00557419,0.00572914,0.996803,0.993615,3.81570
97,0.00584957,0.00549688,,0.00621664,0.00641568,0.00611486,0.00623520,0.00450146,0.00391329,0.00559295,0.00575429,0.996826,0.993662,3.85164
98,0.00584696,0.00550929,,0.00623538,0.00643699,0.00616729,0.00624538,0.00448313,0.00377301,0.00558718,0.00575926,0.996788,0.993587,3.88660
99,0.00583016,0.00550535,,0.00623341,0.00643503,0.00618106,0.00621845,0.00441966,0.00360529,0.00555355,0.00575195,0.996756,0.993523,3.94661
100,0.00581563,0.00550107,,0.00622751,0.00641840,0.00615612,0.00615820,0.00431255,0.00344862,0.00550476,0.00574996,0.996778,0.993567,4.05247
101,0.00582612,0.00553172,,0.00625429,0.00642878,0.00614669,0.00610297,0.00422191,0.00337906,0.00548644,0.00577766,0.996889,0.993789,4.19065
102,0.00588576,0.00560794,,0.00633233,0.00651235,0.00621449,0.00611388,0.00421656,0.00343231,0.00553945,0.00584777,0.996975,0.993960,4.33298
103,0.00600642,0.00573880,,0.00648114,0.00666299,0.00636402,0.00622522,0.00429410,0.00352893,0.00566270,0.00597390,0.997011,0.994031,4.45854
104,0.00613963,0.00589622,,0.00665672,0.00685518,0.00657324,0.00641912,0.00441502,0.00353558,0.00581134,0.00611518,0.996982,0.993974,4.55238
105,0.00620840,0.00597439,,0.00676646,0.00697852,0.00671001,0.00659115,0.00455493,0.00346853,0.00590655,0.00618215,0.996832,0.993674,4.62034
106,0.00611518,0.00590458,,0.00670448,0.00693294,0.00669096,0.00667484,0.00472019,0.00353825,0.00591018,0.00607872,0.996760,0.993531,4.68966
107,0.00589534,0.00571103,,0.00651069,0.00674502,0.00654103,0.00667361,0.00490978,0.00390248,0.00586112,0.00583643,0.996772,0.993554,4.75935
108,0.00565068,0.00550649,,0.00629623,0.00654523,0.00636737,0.00664330,0.00512025,0.00437862,0.00581352,0.00557136,0.996829,0.993669,4.79589
109,0.00548143,0.00535297,,0.00615533,0.00641202,0.00624524,0.00661647,0.00526418,0.00470891,0.00577957,0.00538335,0.996752,0.993514,4.80852
110,0.00536594,0.00525896,,0.00607173,0.00632092,0.00614283,0.00653813,0.00520835,0.00466600,0.00569661,0.00527274,0.996565,0.993141,4.86309
111,0.00524971,0.00516422,,0.00597215,0.00619390,0.00596790,0.00633362,0.00489115,0.00419410,0.00549584,0.00518506,0.996308,0.992629,5.00082
112,0.00510986,0.00504163,,0.00582634,0.00601702,0.00572605,0.00603214,0.00443900,0.00352725,0.00521491,0.00508238,0.996076,0.992167,5.21070
113,0.00496047,0.00490672,,0.00565666,0.00582259,0.00547542,0.00573369,0.00405104,0.00311568,0.00496528,0.00496034,0.996033,0.992083,5.46942
114,0.00484049,0.00479685,,0.00551353,0.00567212,0.00530094,0.00553031,0.00386191,0.00318368,0.00483748,0.00484719,0.996208,0.992431,5.75990
115,0.00478147,0.00474919,,0.00544214,0.00561881,0.00524576,0.00547612,0.00382679,0.00338073,0.00481513,0.00478559,0.996358,0.992730,6.04420
116,0.00477142,0.00475240,,0.00543690,0.00562379,0.00527148,0.00551710,0.00381588,0.00331345,0.00481280,0.00477799,0.996333,0.992679,6.31806
117,0.00474533,0.00474837,,0.00541280,0.00560872,0.00529703,0.00557753,0.00380342,0.00301219,0.00477567,0.00475972,0.996248,0.992509,6.57157
118,0.00466213,0.00467925,,0.00532461,0.00552816,0.00527104,0.00558955,0.00384453,0.00284170,0.00471762,0.00467402,0.996201,0.992417,6.79951
119,0.00451316,0.00454320,,0.00516426,0.00537184,0.00516863,0.00554027,0.00395166,0.00305555,0.00466357,0.00451082,0.996343,0.992700,7.03022
120,0.00432816,0.00437028,,0.00496257,0.00516890,0.00500713,0.00542892,0.00408447,0.00346402,0.00460181,0.00430770,0.996625,0.993260,7.26903
121,0.00415811,0.00420982,,0.00477180,0.00497457,0.00482910,0.00527913,0.00416936,0.00375158,0.00451793,0.00412607,0.996895,0.993800,7.46704
122,0.00403814,0.00409723,,0.00463380,0.00482618,0.00467013,0.00513241,0.00417184,0.00381959,0.00442367,0.00400509,0.997073,0.994155,7.58301
123,0.00396675,0.00403059,,0.00454796,0.00472235,0.00455343,0.00499684,0.00409135,0.00364969,0.00431987,0.00394199,0.997135,0.994279,7.63089
124,0.00393459,0.00400167,,0.00451431,0.00468272,0.00451441,0.00491783,0.00398542,0.00344501,0.00424950,0.00391827,0.997031,0.994071,7.64377
125,0.00395528,0.00402637,,0.00455693,0.00472226,0.00456107,0.00494004,0.00394985,0.00323782,0.00424370,0.00394565,0.996754,0.993519,7.62743
126,0.00403494,0.00410866,,0.00467374,0.00484991,0.00469662,0.00505340,0.00395636,0.00312532,0.00431237,0.00402893,0.996373,0.992759,7.57955
127,0.00414247,0.00422810,,0.00482180,0.00500564,0.00486129,0.00520309,0.00399505,0.00309014,0.00441845,0.00414257,0.996068,0.992151,7.51815
128,0.00426617,0.00435899,,0.00498198,0.00517081,0.00502560,0.00536305,0.00404842,0.00311274,0.00454097,0.00427065,0.995858,0.991734,7.44117
129,0.00445888,0.00456225,,0.00521482,0.00539913,0.00525808,0.00559376,0.00418254,0.00319984,0.00473366,0.00446907,0.995795,0.991607,7.26850
130,0.00475365,0.00487346,,0.00555845,0.00575026,0.00561169,0.00596429,0.00447516,0.00338392,0.00504636,0.00476850,0.995822,0.991661,6.95631
131,0.00506513,0.00519144,,0.00592544,0.00614531,0.00600241,0.00640033,0.00486910,0.00367666,0.00540948,0.00507408,0.995804,0.991626,6.63400
132,0.00523946,0.00537860,,0.00614527,0.00638375,0.00623685,0.00670376,0.00517699,0.00396475,0.00565368,0.00524180,0.995754,0.991527,6.47154
133,0.00527854,0.00543215,,0.00621674,0.00647554,0.00632917,0.00686430,0.00530085,0.00418619,0.00576043,0.00527458,0.995599,0.991218,6.43123
134,0.00533429,0.00550708,,0.00631327,0.00658678,0.00643967,0.00703343,0.00540525,0.00435381,0.00587170,0.00532805,0.995391,0.990803,6.31064
135,0.00547017,0.00565884,,0.00649539,0.00678840,0.00661916,0.00726544,0.00551267,0.00446945,0.00603494,0.00546559,0.995181,0.990385,6.08963
136,0.00557980,0.00578008,,0.00665206,0.00693918,0.00673697,0.00739885,0.00552054,0.00441465,0.00612777,0.00558403,0.994927,0.989880,5.92926
137,0.00554847,0.00576373,,0.00664702,0.00691828,0.00666446,0.00731183,0.00536521,0.00418215,0.00605014,0.00556881,0.994616,0.989261,5.91506
138,0.00541667,0.00564428,,0.00652999,0.00677168,0.00644600,0.00706690,0.00511759,0.00387019,0.00585791,0.00545566,0.994247,0.988527,5.94713
139,0.00526744,0.00551563,,0.00639391,0.00661640,0.00622893,0.00681932,0.00487826,0.00359107,0.00566387,0.00532529,0.993806,0.987651,5.89314
140,0.00514364,0.00540323,,0.00629751,0.00652322,0.00607186,0.00663645,0.00467171,0.00335632,0.00551299,0.00521345,0.993146,0.986339,5.74904
141,0.00504816,0.00532944,,0.00623855,0.00647203,0.00599245,0.00651650,0.00452723,0.00309247,0.00540210,0.00513110,0.992365,0.984789,5.59912
142,0.00500967,0.00530946,,0.00624532,0.00649672,0.00600270,0.00650299,0.00445414,0.00293852,0.00536994,0.00509997,0.991572,0.983214,5.47037
143,0.00509155,0.00540346,,0.00638033,0.00665538,0.00616545,0.00666109,0.00451948,0.00295564,0.00547905,0.00518215,0.991057,0.982193,5.31393
144,0.00527476,0.00560022,,0.00662097,0.00692747,0.00644525,0.00694857,0.00471273,0.00309491,0.00570311,0.00536328,0.990830,0.981744,5.16260
145,0.00540571,0.00572914,,0.00677489,0.00710014,0.00661313,0.00713047,0.00486629,0.00316907,0.00584860,0.00549003,0.990886,0.981856,5.15641
146,0.00533525,0.00564855,,0.00666060,0.00699163,0.00649372,0.00703133,0.00483269,0.00314173,0.00576694,0.00541546,0.991145,0.982368,5.33269
147,0.00509353,0.00540267,,0.00634290,0.00665739,0.00613479,0.00672165,0.00467670,0.00308888,0.00551481,0.00517170,0.991446,0.982966,5.46776
148,0.00478206,0.00507033,,0.00593703,0.00622337,0.00561953,0.00635146,0.00448718,0.00311118,0.00519777,0.00485150,0.991876,0.983817,5.32165
157,0.0259201,0.0341566,,0.0274244,0.0204301,0.0190289,0.0190857,0.0149947,0.0104591,0.0214374,0.0299573,0.968570,0.938128,1.69362
158,0.0304102,0.0304596,,0.0373245,0.0324236,0.0130774,0.0131106,0.0101909,0.00707092,0.0217585,0.0340983,0.910399,0.828826,1.30015
159,0.0183590,0.0166763,,0.0231523,0.0307126,0.00973249,0.00969488,0.00734977,0.00509531,0.0150966,0.0184565,0.925957,0.857397,1.31299
160,0.0119869,0.0110990,,0.0148441,0.0195968,0.00782822,0.00776174,0.00572653,0.00397021,0.0103517,0.0121447,0.956437,0.914772,1.61427
161,0.00921969,0.00874414,,0.0113855,0.0145794,0.00679901,0.00669645,0.00482595,0.00333733,0.00819844,0.00940330,0.968535,0.938060,2.01398
162,0.00792946,0.00761582,,0.00974845,0.0122920,0.00620877,0.00608808,0.00433307,0.00296960,0.00714815,0.00811054,0.973555,0.947809,2.44195
163,0.00728893,0.00704264,,0.00892241,0.0111948,0.00584055,0.00571477,0.00406545,0.00271868,0.00659853,0.00746901,0.975538,0.951674,2.62291
164,0.00703766,0.00679009,,0.00855729,0.0107880,0.00563796,0.00551536,0.00394270,0.00256492,0.00635425,0.00721105,0.975899,0.952379,2.57818
165,0.00711730,0.00683611,,0.00859155,0.0109794,0.00559885,0.00547896,0.00392927,0.00248636,0.00637722,0.00729095,0.974964,0.950555,2.34133
