Depth,0.00500000,0.0100000,0.0150000,0.0200000,0.0250000,0.0300000,0.0400000,0.0500000,0.0600000, mean ratio, slope, r, r-squared, ARM
138,0.172441,0.167562,0.169589,0.176942,,0.208955,0.245133,0.270641,0.366045,0.222164,0.154657,0.998545,0.997091,0.183254
139,0.167829,0.163175,0.165382,0.173029,,0.204691,0.239866,0.262552,0.355480,0.216500,0.150575,0.998474,0.996950,0.180993
140,0.161948,0.157485,0.159880,0.167483,,0.199241,0.233985,0.253739,0.343879,0.209705,0.145100,0.998326,0.996655,0.178813
141,0.156357,0.152172,0.154611,0.162665,,0.194128,0.228621,0.247087,0.334005,0.203706,0.139811,0.998188,0.996379,0.177401
142,0.152711,0.148279,0.150707,0.158910,,0.190549,0.225270,0.243145,0.328185,0.199719,0.136017,0.997980,0.995964,0.176930
143,0.151648,0.146864,0.149230,0.157403,,0.189406,0.224681,0.243060,0.327704,0.198750,0.134581,0.997839,0.995683,0.177137
144,0.153667,0.148600,0.150767,0.158887,,0.191519,0.227985,0.247567,0.333108,0.201512,0.136037,0.997781,0.995567,0.177414
145,0.157885,0.152666,0.154920,0.162816,,0.196255,0.233952,0.254640,0.342261,0.206924,0.139734,0.997833,0.995671,0.177156
146,0.161293,0.156263,0.158731,0.166323,,0.199938,0.238691,0.259326,0.349253,0.211227,0.143012,0.997982,0.995969,0.175736
147,0.159999,0.155708,0.158040,0.165451,,0.198068,0.236375,0.255060,0.347384,0.209511,0.142361,0.998172,0.996347,0.172088
148,0.152006,0.148990,0.151627,0.157925,,0.189123,0.225354,0.238466,0.334149,0.199705,0.135950,0.998350,0.996702,0.164552
156,0.139410,0.135626,0.135789,0.142431,,0.166363,0.199450,0.248158,0.308664,0.184486,0.123398,0.998655,0.997311,0.187619
157,0.143112,0.139249,0.139558,0.146650,,0.171940,0.206181,0.257081,0.320186,0.190495,0.126465,0.998637,0.997276,0.192963
158,0.146123,0.142031,0.142735,0.149987,,0.176396,0.212053,0.265739,0.330655,0.195715,0.128830,0.998613,0.997229,0.193912
159,0.148858,0.144738,0.145589,0.153192,,0.180851,0.218062,0.274169,0.340019,0.200684,0.130997,0.998572,0.997146,0.191858
160,0.151738,0.147488,0.148527,0.156294,,0.185451,0.224465,0.282820,0.347653,0.205555,0.133283,0.998489,0.996980,0.188297
161,0.154219,0.149997,0.151065,0.159191,,0.189218,0.230057,0.289845,0.353471,0.209633,0.135372,0.998439,0.996880,0.183792
162,0.155641,0.151200,0.152309,0.160624,,0.191418,0.233243,0.293973,0.357402,0.211976,0.136455,0.998353,0.996709,0.178405
163,0.155105,0.150995,0.151950,0.160158,,0.191351,0.233958,0.293965,0.356912,0.211799,0.136068,0.998363,0.996728,0.172615
164,0.153470,0.149455,0.150571,0.158895,,0.189889,0.232588,0.292563,0.355918,0.210419,0.134588,0.998384,0.996770,0.165921
165,0.152315,0.148153,0.149290,0.157602,,0.188509,0.231238,0.291324,0.354714,0.209143,0.133454,0.998349,0.996701,0.159918
166,0.151094,0.147187,0.148231,0.156751,,0.187369,0.230147,0.290035,0.354069,0.208111,0.132430,0.998382,0.996766,0.155221
167,0.149574,0.145601,0.146866,0.155099,,0.185918,0.228376,0.288554,0.354652,0.206830,0.130939,0.998376,0.996756,0.152112
168,0.147496,0.143544,0.144735,0.152864,,0.183469,0.225471,0.285671,0.354127,0.204672,0.128972,0.998372,0.996746,0.150810
169,0.144524,0.140521,0.141795,0.149746,,0.179892,0.220883,0.279884,0.350951,0.201024,0.126255,0.998370,0.996743,0.151164
170,0.141508,0.137597,0.138679,0.146585,,0.175990,0.215686,0.273204,0.346052,0.196913,0.123630,0.998383,0.996770,0.153302
171,0.140267,0.136196,0.137195,0.144742,,0.173244,0.211736,0.268404,0.342399,0.194273,0.122671,0.998408,0.996819,0.156998
172,0.141925,0.137761,0.138344,0.145668,,0.173282,0.210941,0.267570,0.340885,0.194547,0.124517,0.998449,0.996901,0.161978
173,0.146001,0.141646,0.142071,0.148889,,0.176238,0.213439,0.270121,0.342774,0.197647,0.128598,0.998493,0.996988,0.166980
174,0.151970,0.147371,0.147307,0.153661,,0.181304,0.218823,0.276774,0.348167,0.203172,0.134270,0.998454,0.996910,0.171477
175,0.158157,0.153213,0.152967,0.159403,,0.187229,0.224906,0.283344,0.352821,0.209005,0.140153,0.998441,0.996884,0.175687
176,0.163008,0.157860,0.157926,0.164116,,0.192282,0.230748,0.289686,0.356970,0.214075,0.144727,0.998486,0.996974,0.179113
177,0.166052,0.160942,0.160993,0.167449,,0.195770,0.235346,0.294838,0.359882,0.217659,0.147507,0.998510,0.997023,0.181757
178,0.167047,0.162037,0.162236,0.169114,,0.198115,0.239035,0.298765,0.362373,0.219840,0.148157,0.998497,0.996996,0.183225
179,0.167087,0.162038,0.162532,0.169816,,0.199496,0.241786,0.302788,0.364482,0.221253,0.147739,0.998446,0.996895,0.183535
180,0.166828,0.161777,0.162454,0.170180,,0.200633,0.244017,0.305719,0.365804,0.222176,0.147071,0.998375,0.996754,0.183012
181,0.167098,0.162055,0.162946,0.171024,,0.202108,0.245939,0.307476,0.367005,0.223207,0.147065,0.998344,0.996690,0.182151
182,0.168277,0.163439,0.164462,0.172902,,0.204289,0.247796,0.308708,0.368781,0.224832,0.148170,0.998401,0.996805,0.181390
183,0.169877,0.165361,0.166571,0.175330,,0.206766,0.249643,0.309506,0.370179,0.226654,0.149827,0.998508,0.997018,0.181184
184,0.171103,0.167005,0.168526,0.177341,,0.208541,0.250856,0.310033,0.370637,0.228005,0.151220,0.998641,0.997283,0.181734
185,0.171616,0.167923,0.169422,0.178451,,0.209524,0.251728,0.309808,0.369721,0.228524,0.151821,0.998692,0.997386,0.183277
186,0.172062,0.168697,0.170324,0.179343,,0.210483,0.252813,0.309884,0.370681,0.229286,0.152262,0.998734,0.997470,0.185526
187,0.173898,0.170788,0.172272,0.181125,,0.212759,0.255301,0.313107,0.375026,0.231784,0.153860,0.998768,0.997537,0.188326
188,0.176706,0.173580,0.174952,0.183803,,0.214860,0.257800,0.315638,0.378838,0.234522,0.156509,0.998829,0.997660,0.191645
189,0.179038,0.175700,0.176781,0.185506,,0.215679,0.258272,0.316112,0.380118,0.235901,0.158788,0.998867,0.997735,0.194990
190,0.180769,0.177290,0.177879,0.186120,,0.215406,0.257093,0.314056,0.377292,0.235738,0.160730,0.998889,0.997779,0.198527
191,0.181874,0.178179,0.178413,0.186301,,0.214632,0.255146,0.310120,0.371530,0.234524,0.162157,0.998889,0.997779,0.201934
192,0.182091,0.178105,0.178159,0.185412,,0.212811,0.251839,0.305623,0.365262,0.232413,0.162716,0.998886,0.997774,0.204968
193,0.181014,0.176705,0.176376,0.183274,,0.209716,0.247313,0.299456,0.357635,0.228936,0.161959,0.998833,0.997667,0.206945
194,0.178350,0.173690,0.172907,0.179491,,0.204445,0.240220,0.291028,0.348325,0.223557,0.159732,0.998767,0.997535,0.207379
195,0.174944,0.169868,0.168956,0.175042,,0.198393,0.232173,0.281159,0.337249,0.217223,0.156888,0.998712,0.997426,0.206402
196,0.171901,0.166823,0.165636,0.171109,,0.193226,0.225595,0.273560,0.329207,0.212132,0.154361,0.998689,0.997379,0.204490
197,0.170235,0.165128,0.163875,0.169032,,0.190299,0.221747,0.269563,0.326091,0.209496,0.152926,0.998688,0.997378,0.203087
198,0.170081,0.165128,0.163915,0.168795,,0.189898,0.221235,0.269670,0.327980,0.209588,0.152771,0.998726,0.997453,0.203684
199,0.170564,0.165891,0.164865,0.169647,,0.190892,0.222534,0.271948,0.332427,0.211096,0.153188,0.998811,0.997623,0.207262
200,0.170038,0.165589,0.164621,0.169110,,0.190328,0.222360,0.273023,0.334747,0.211227,0.152679,0.998848,0.997696,0.214628
201,0.167746,0.162916,0.161565,0.165983,,0.185925,0.217361,0.267456,0.326262,0.206902,0.150727,0.998716,0.997434,0.227564
202,0.162125,0.157477,0.155310,0.159554,,0.177577,0.206857,0.254202,0.309329,0.197804,0.146227,0.998622,0.997246,0.243409
203,0.156802,0.151379,0.148859,0.152274,,0.168964,0.196000,0.240580,0.290710,0.188196,0.141608,0.998302,0.996608,0.260670
