Sample ID	Run #	Sample Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X mean	X corr	Y intensity	Y mean	Y corr	Z intensity	Z mean	Z corr	Treatment Type	AF X	AF Y	AF Z	IRM Gauss	Meas. type	Drift corrected	X responce	Y responce	Z responce
C5A	60201	21/03/20 0016	3.80	0.24	-87.65	-87.65	-87.65	83.89	83.89	83.89	3.6649E-3	0.00	90.00	0.00	0.00	0.00	1.6018E-5	2.4888E-4	2.4895E-4	1.4972E-4	2.3667E-3	2.3667E-3	-3.6618E-3	-1.0388E-1	-9.2812E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.25	-87.19	-87.19	-87.19	88.96	88.96	88.96	3.6307E-3	0.00	90.00	0.00	0.00	0.00	3.2138E-6	4.9874E-5	4.9949E-5	1.7768E-4	2.8087E-3	2.8087E-3	-3.6264E-3	-1.0339E-1	-9.1915E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.26	-86.88	-86.88	-86.88	101.73	101.73	101.73	3.6133E-3	0.00	90.00	0.00	0.00	0.00	-3.9921E-5	-6.2053E-4	-6.2046E-4	1.9226E-4	3.0393E-3	3.0393E-3	-3.6080E-3	-1.0333E-1	-9.1447E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.27	-86.57	-86.57	-86.57	110.17	110.17	110.17	3.6117E-3	0.00	90.00	0.00	0.00	0.00	-7.4512E-5	-1.1581E-3	-1.1581E-3	2.0286E-4	3.2067E-3	3.2068E-3	-3.6052E-3	-1.0368E-1	-9.1377E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.28	-86.38	-86.38	-86.38	117.59	117.59	117.59	3.6047E-3	0.00	90.00	0.00	0.00	0.00	-1.0538E-4	-1.6380E-3	-1.6379E-3	2.0169E-4	3.1883E-3	3.1884E-3	-3.5975E-3	-1.0390E-1	-9.1182E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.29	-86.37	-86.37	-86.37	123.28	123.28	123.28	3.5891E-3	0.00	90.00	0.00	0.00	0.00	-1.2484E-4	-1.9404E-3	-1.9403E-3	1.9016E-4	3.0061E-3	3.0061E-3	-3.5819E-3	-1.0393E-1	-9.0786E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.30	-86.65	-86.65	-86.65	120.56	120.56	120.56	3.5709E-3	0.00	90.00	0.00	0.00	0.00	-1.0622E-4	-1.6510E-3	-1.6509E-3	1.7988E-4	2.8435E-3	2.8435E-3	-3.5648E-3	-1.0391E-1	-9.0354E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.31	-87.00	-87.00	-87.00	99.73	99.73	99.73	3.5216E-3	0.00	90.00	0.00	0.00	0.00	-3.1153E-5	-4.8428E-4	-4.8418E-4	1.8169E-4	2.8721E-3	2.8721E-3	-3.5168E-3	-1.0309E-1	-8.9136E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.32	-86.19	-86.19	-86.19	62.58	62.58	62.58	3.3937E-3	0.00	90.00	0.00	0.00	0.00	1.0377E-4	1.6127E-3	1.6128E-3	1.9998E-4	3.1612E-3	3.1613E-3	-3.3862E-3	-1.0021E-1	-8.5827E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.33	-84.24	-84.24	-84.24	43.16	43.16	43.16	3.1773E-3	0.00	90.00	0.00	0.00	0.00	2.3272E-4	3.6169E-3	3.6170E-3	2.1824E-4	3.4498E-3	3.4499E-3	-3.1612E-3	-9.4917E-2	-8.0124E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
